"SL No.","Borough","Ward","Name","Amenities","Area"
"67","VIII","86","Sarat Chatterjee PArk (Triangular Park) at 172/2, R.B.Avenue. Kolkata-29","",""
"68","IX","76","Padmapukur Square (Khidirpore)","Tank & Garden",""
"69","IX","78","Nabab Ali Park (Ekbalpur)","",""
"70","IX","82","Chetla Park at 30, Chetla Central Rd.","Children's Corner & Playground","8568"
"71","IX","88","Mysore Garden (Tollygunge Rd.)","Flower Garden","3015"
"72","IX","88","Triangular Park on Pratapaditya Rd.","Garden",""
"73","IX","74","Alipore Office Garden","Nursery",""
"74","IX","82","Mani Sannyal Uddyan","Garden",""
"75","IX","83","Deshpran Sashmal Park at 10, Nepal Bhattacharjee St.","Playground & Children's Park","4266"
"76","IX","88","Desh Bandhu C.R.Das Memorial. 111, Tollygunge Road","Flower Garden with memorial tomb of Deshbandhu C.R.Das",""
"77","X","81","Datu Fadkar Memorial (New Alipur)","Children's park",""
"78","X","92","Tanupukur Park at Sarat Ghosh Garden Rd.","Children's park",""
"79","X","93","Jodhpur Children's Park","Children's park",""
"80","X","95","Tilak Nagar Park","Children's park",""
"81","X","96","Sishu Uddyan at Regent Estate Park","Children's Playground",""
"82","X","97","Regent Park in Govt. Estate at N.S.C.Bose RD.","Children's park",""
"83","X","99","Niranjan Sengupta Park","Children's Park & Playground",""
"84","X","81","Park at New Alipore 'O' Block","Children's park",""
"85","X","81","Park at New Alipore 'H' Block","Children's park",""
"86","X","92","Tarakeswar Sen Uddyan at Babu Bagan","Playground",""
"87","X","92","Bimal Ghosg Uddyan","Children's park",""
"88","X","96","Layalka Park (N.S.C. Bose Rd.)","Children's Park & Playground",""
"89","X","96","Bijoygarh Park (Bijoygarh Rd.)","Children's Park & Playground",""
"90","X","97","Rabindra Vivekananda Sardha Satabarsho Smarak Uddan","Playground & Nursery",""
"91","X","98","Jibananda Park","Children's park",""
"92","X","99","Park at Sree Colony Block, Block-1","Children's Park & Playground",""
"93","X","100","Lakshi Narayan Park","Children's Park",""
